,name,height,wingspan,height_inches,wingspan_inches,relative
376,Royce White,6' 7'',7' 0'',79.0,84.0,5.0
377,Tony Wroten,6' 4.75'',6' 9'',76.75,81.0,4.25
378,Tyler Zeller,6' 11.25'',7' 0'',83.25,84.0,0.75
379,Quincy Acy,6' 6.5'',7' 2.75'',78.5,86.75,8.25
380,Harrison Barnes,6' 7'',6' 11.25'',79.0,83.25,4.25
381,Will Barton,6' 5'',6' 9.75'',77.0,81.75,4.75
382,Bradley Beal,6' 3.25'',6' 8'',75.25,80.0,4.75
383,J'Covan Brown,6' 1'',6' 5.25'',73.0,77.25,4.25
384,William Buford,6' 4'',6' 9.5'',76.0,81.5,5.5
385,Jae Crowder,6' 4.75'',6' 9.25'',76.75,81.25,4.5
386,Jared Cunningham,6' 3.5'',6' 6.5'',75.5,78.5,3.0
387,Anthony Davis,6' 9.25'',7' 5.5'',81.25,89.5,8.25
388,Marcus Denmon,6' 2.25'',6' 5'',74.25,77.0,2.75
389,Andre Drummond,6' 9.75'',7' 6.25'',81.75,90.25,8.5
390,Kim English,6' 4.5'',6' 6.5'',76.5,78.5,2.0
391,Festus Ezeli,6' 9.75'',7' 5.75'',81.75,89.75,8.0
392,Drew Gordon,6' 8'',6' 11.5'',80.0,83.5,3.5
393,Draymond Green,6' 5.75'',7' 1.25'',77.75,85.25,7.5
394,JaMychal Green,6' 8'',7' 2.25'',80.0,86.25,6.25
395,Maurice Harkless,6' 7.25'',7' 0'',79.25,84.0,4.75
396,John Henson,6' 9'',7' 5'',81.0,89.0,8.0
397,Tu Holloway,5' 10.5'',6' 5.5'',70.5,77.5,7.0
398,Robbie Hummel,6' 7.25'',6' 8.5'',79.25,80.5,1.25
399,Bernard James,6' 8.75'',7' 3'',80.75,87.0,6.25
400,John Jenkins,6' 3.25'',6' 8.5'',75.25,80.5,5.25
401,Orlando Johnson,6' 3.75'',6' 11.25'',75.75,83.25,7.5
402,Darius Johnson-Odom,6' 1.5'',6' 7'',73.5,79.0,5.5
403,Terrence Jones,6' 8.25'',7' 2.25'',80.25,86.25,6.0
404,Perry Jones,6' 10.25'',7' 1.75'',82.25,85.75,3.5
405,Kevin Jones,6' 6.25'',7' 1.5'',78.25,85.5,7.25
406,Kris Joseph,6' 6'',6' 11'',78.0,83.0,5.0
407,Michael Kidd-Gilchrist,6' 5.75'',7' 0'',77.75,84.0,6.25
408,Jeremy Lamb,6' 4'',6' 11'',76.0,83.0,7.0
409,Doron Lamb,6' 3.25'',6' 6.75'',75.25,78.75,3.5
410,Meyers Leonard,6' 11.75'',7' 3'',83.75,87.0,3.25
411,Damian Lillard,6' 1.75'',6' 7.75'',73.75,79.75,6.0
412,Scott Machado,6' 1'',6' 4'',73.0,76.0,3.0
413,Kendall Marshall,6' 3.25'',6' 5.5'',75.25,77.5,2.25
414,Fab Melo,6' 10.75'',7' 2.5'',82.75,86.5,3.75
415,Khris Middleton,6' 6.75'',6' 10.75'',78.75,82.75,4.0
416,Quincy Miller,6' 8.75'',7' 1.25'',80.75,85.25,4.5
417,Darius Miller,6' 6'',6' 9'',78.0,81.0,3.0
418,Tony Mitchell,6' 5.25'',6' 10'',77.25,82.0,4.75
419,Arnett Moultrie,6' 9.5'',7' 2.25'',81.5,86.25,4.75
420,Kevin Murphy,6' 5'',6' 6.75'',77.0,78.75,1.75
421,Andrew Nicholson,6' 8.5'',7' 4'',80.5,88.0,7.5
422,Kyle O'Quinn,6' 8.5'',7' 4.75'',80.5,88.75,8.25
423,Miles Plumlee,6' 10.5'',7' 0.75'',82.5,84.75,2.25
424,Austin Rivers,6' 3.5'',6' 7.25'',75.5,79.25,3.75
425,Thomas Robinson,6' 7.75'',7' 3.25'',79.75,87.25,7.5
426,Terrence Ross,6' 6'',6' 7.25'',78.0,79.25,1.25
427,Tomas Satoransky,6' 6.5'',6' 7.25'',78.5,79.25,0.75
428,Mike Scott,6' 7.25'',6' 10.75'',79.25,82.75,3.5
429,Henry Sims,6' 10'',7' 4'',82.0,88.0,6.0
430,Jared Sullinger,6' 7.75'',7' 1.25'',79.75,85.25,5.5
431,Jordan Taylor,6' 1'',6' 3'',73.0,75.0,2.0
432,Jeff Taylor,6' 6'',6' 6.25'',78.0,78.25,0.25
433,Tyshawn Taylor,6' 2.75'',6' 6.25'',74.75,78.25,3.5
434,Marquis Teague,6' 1'',6' 7.25'',73.0,79.25,6.25
435,Hollis Thompson,6' 6.75'',6' 9.5'',78.75,81.5,2.75
436,Dion Waiters,6' 2.5'',6' 7.25'',74.5,79.25,4.75
437,Royce White,6' 7'',7' 0'',79.0,84.0,5.0
438,Tony Wroten,6' 4.75'',6' 9'',76.75,81.0,4.25
439,Tyler Zeller,6' 11.25'',7' 0'',83.25,84.0,0.75
440,Quincy Acy,6' 6.5'',7' 2.75'',78.5,86.75,8.25
441,Harrison Barnes,6' 7'',6' 11.25'',79.0,83.25,4.25
442,Will Barton,6' 5'',6' 9.75'',77.0,81.75,4.75
443,Bradley Beal,6' 3.25'',6' 8'',75.25,80.0,4.75
444,J'Covan Brown,6' 1'',6' 5.25'',73.0,77.25,4.25
445,William Buford,6' 4'',6' 9.5'',76.0,81.5,5.5
446,Jae Crowder,6' 4.75'',6' 9.25'',76.75,81.25,4.5
447,Jared Cunningham,6' 3.5'',6' 6.5'',75.5,78.5,3.0
448,Anthony Davis,6' 9.25'',7' 5.5'',81.25,89.5,8.25
449,Marcus Denmon,6' 2.25'',6' 5'',74.25,77.0,2.75
450,Andre Drummond,6' 9.75'',7' 6.25'',81.75,90.25,8.5
451,Kim English,6' 4.5'',6' 6.5'',76.5,78.5,2.0
452,Festus Ezeli,6' 9.75'',7' 5.75'',81.75,89.75,8.0
453,Drew Gordon,6' 8'',6' 11.5'',80.0,83.5,3.5
454,Draymond Green,6' 5.75'',7' 1.25'',77.75,85.25,7.5
455,JaMychal Green,6' 8'',7' 2.25'',80.0,86.25,6.25
456,Maurice Harkless,6' 7.25'',7' 0'',79.25,84.0,4.75
457,John Henson,6' 9'',7' 5'',81.0,89.0,8.0
458,Tu Holloway,5' 10.5'',6' 5.5'',70.5,77.5,7.0
459,Robbie Hummel,6' 7.25'',6' 8.5'',79.25,80.5,1.25
460,Bernard James,6' 8.75'',7' 3'',80.75,87.0,6.25
461,John Jenkins,6' 3.25'',6' 8.5'',75.25,80.5,5.25
462,Orlando Johnson,6' 3.75'',6' 11.25'',75.75,83.25,7.5
463,Darius Johnson-Odom,6' 1.5'',6' 7'',73.5,79.0,5.5
464,Terrence Jones,6' 8.25'',7' 2.25'',80.25,86.25,6.0
465,Perry Jones,6' 10.25'',7' 1.75'',82.25,85.75,3.5
466,Kevin Jones,6' 6.25'',7' 1.5'',78.25,85.5,7.25
467,Kris Joseph,6' 6'',6' 11'',78.0,83.0,5.0
468,Michael Kidd-Gilchrist,6' 5.75'',7' 0'',77.75,84.0,6.25
469,Jeremy Lamb,6' 4'',6' 11'',76.0,83.0,7.0
470,Doron Lamb,6' 3.25'',6' 6.75'',75.25,78.75,3.5
471,Meyers Leonard,6' 11.75'',7' 3'',83.75,87.0,3.25
472,Damian Lillard,6' 1.75'',6' 7.75'',73.75,79.75,6.0
473,Scott Machado,6' 1'',6' 4'',73.0,76.0,3.0
474,Kendall Marshall,6' 3.25'',6' 5.5'',75.25,77.5,2.25
475,Fab Melo,6' 10.75'',7' 2.5'',82.75,86.5,3.75
476,Khris Middleton,6' 6.75'',6' 10.75'',78.75,82.75,4.0
477,Quincy Miller,6' 8.75'',7' 1.25'',80.75,85.25,4.5
478,Darius Miller,6' 6'',6' 9'',78.0,81.0,3.0
479,Tony Mitchell,6' 5.25'',6' 10'',77.25,82.0,4.75
480,Arnett Moultrie,6' 9.5'',7' 2.25'',81.5,86.25,4.75
481,Kevin Murphy,6' 5'',6' 6.75'',77.0,78.75,1.75
482,Andrew Nicholson,6' 8.5'',7' 4'',80.5,88.0,7.5
483,Kyle O'Quinn,6' 8.5'',7' 4.75'',80.5,88.75,8.25
484,Miles Plumlee,6' 10.5'',7' 0.75'',82.5,84.75,2.25
485,Austin Rivers,6' 3.5'',6' 7.25'',75.5,79.25,3.75
486,Thomas Robinson,6' 7.75'',7' 3.25'',79.75,87.25,7.5
487,Terrence Ross,6' 6'',6' 7.25'',78.0,79.25,1.25
488,Tomas Satoransky,6' 6.5'',6' 7.25'',78.5,79.25,0.75
489,Mike Scott,6' 7.25'',6' 10.75'',79.25,82.75,3.5
490,Henry Sims,6' 10'',7' 4'',82.0,88.0,6.0
491,Jared Sullinger,6' 7.75'',7' 1.25'',79.75,85.25,5.5
492,Jordan Taylor,6' 1'',6' 3'',73.0,75.0,2.0
493,Jeff Taylor,6' 6'',6' 6.25'',78.0,78.25,0.25
494,Tyshawn Taylor,6' 2.75'',6' 6.25'',74.75,78.25,3.5
495,Marquis Teague,6' 1'',6' 7.25'',73.0,79.25,6.25
496,Hollis Thompson,6' 6.75'',6' 9.5'',78.75,81.5,2.75
497,Dion Waiters,6' 2.5'',6' 7.25'',74.5,79.25,4.75
498,Royce White,6' 7'',7' 0'',79.0,84.0,5.0
499,Tony Wroten,6' 4.75'',6' 9'',76.75,81.0,4.25
500,Tyler Zeller,6' 11.25'',7' 0'',83.25,84.0,0.75
501,Quincy Acy,6' 6.5'',7' 2.75'',78.5,86.75,8.25
502,Harrison Barnes,6' 7'',6' 11.25'',79.0,83.25,4.25
503,Will Barton,6' 5'',6' 9.75'',77.0,81.75,4.75
504,Bradley Beal,6' 3.25'',6' 8'',75.25,80.0,4.75
505,J'Covan Brown,6' 1'',6' 5.25'',73.0,77.25,4.25
506,William Buford,6' 4'',6' 9.5'',76.0,81.5,5.5
507,Jae Crowder,6' 4.75'',6' 9.25'',76.75,81.25,4.5
508,Jared Cunningham,6' 3.5'',6' 6.5'',75.5,78.5,3.0
509,Anthony Davis,6' 9.25'',7' 5.5'',81.25,89.5,8.25
510,Marcus Denmon,6' 2.25'',6' 5'',74.25,77.0,2.75
511,Andre Drummond,6' 9.75'',7' 6.25'',81.75,90.25,8.5
512,Kim English,6' 4.5'',6' 6.5'',76.5,78.5,2.0
513,Festus Ezeli,6' 9.75'',7' 5.75'',81.75,89.75,8.0
514,Drew Gordon,6' 8'',6' 11.5'',80.0,83.5,3.5
515,Draymond Green,6' 5.75'',7' 1.25'',77.75,85.25,7.5
516,JaMychal Green,6' 8'',7' 2.25'',80.0,86.25,6.25
517,Maurice Harkless,6' 7.25'',7' 0'',79.25,84.0,4.75
518,John Henson,6' 9'',7' 5'',81.0,89.0,8.0
519,Tu Holloway,5' 10.5'',6' 5.5'',70.5,77.5,7.0
520,Robbie Hummel,6' 7.25'',6' 8.5'',79.25,80.5,1.25
521,Bernard James,6' 8.75'',7' 3'',80.75,87.0,6.25
522,John Jenkins,6' 3.25'',6' 8.5'',75.25,80.5,5.25
523,Orlando Johnson,6' 3.75'',6' 11.25'',75.75,83.25,7.5
524,Darius Johnson-Odom,6' 1.5'',6' 7'',73.5,79.0,5.5
525,Terrence Jones,6' 8.25'',7' 2.25'',80.25,86.25,6.0
526,Perry Jones,6' 10.25'',7' 1.75'',82.25,85.75,3.5
527,Kevin Jones,6' 6.25'',7' 1.5'',78.25,85.5,7.25
528,Kris Joseph,6' 6'',6' 11'',78.0,83.0,5.0
529,Michael Kidd-Gilchrist,6' 5.75'',7' 0'',77.75,84.0,6.25
530,Jeremy Lamb,6' 4'',6' 11'',76.0,83.0,7.0
531,Doron Lamb,6' 3.25'',6' 6.75'',75.25,78.75,3.5
532,Meyers Leonard,6' 11.75'',7' 3'',83.75,87.0,3.25
533,Damian Lillard,6' 1.75'',6' 7.75'',73.75,79.75,6.0
534,Scott Machado,6' 1'',6' 4'',73.0,76.0,3.0
535,Kendall Marshall,6' 3.25'',6' 5.5'',75.25,77.5,2.25
536,Fab Melo,6' 10.75'',7' 2.5'',82.75,86.5,3.75
537,Khris Middleton,6' 6.75'',6' 10.75'',78.75,82.75,4.0
538,Quincy Miller,6' 8.75'',7' 1.25'',80.75,85.25,4.5
539,Darius Miller,6' 6'',6' 9'',78.0,81.0,3.0
540,Tony Mitchell,6' 5.25'',6' 10'',77.25,82.0,4.75
541,Arnett Moultrie,6' 9.5'',7' 2.25'',81.5,86.25,4.75
542,Kevin Murphy,6' 5'',6' 6.75'',77.0,78.75,1.75
543,Andrew Nicholson,6' 8.5'',7' 4'',80.5,88.0,7.5
544,Kyle O'Quinn,6' 8.5'',7' 4.75'',80.5,88.75,8.25
545,Miles Plumlee,6' 10.5'',7' 0.75'',82.5,84.75,2.25
546,Austin Rivers,6' 3.5'',6' 7.25'',75.5,79.25,3.75
547,Thomas Robinson,6' 7.75'',7' 3.25'',79.75,87.25,7.5
548,Terrence Ross,6' 6'',6' 7.25'',78.0,79.25,1.25
549,Tomas Satoransky,6' 6.5'',6' 7.25'',78.5,79.25,0.75
550,Mike Scott,6' 7.25'',6' 10.75'',79.25,82.75,3.5
551,Henry Sims,6' 10'',7' 4'',82.0,88.0,6.0
552,Jared Sullinger,6' 7.75'',7' 1.25'',79.75,85.25,5.5
553,Jordan Taylor,6' 1'',6' 3'',73.0,75.0,2.0
554,Jeff Taylor,6' 6'',6' 6.25'',78.0,78.25,0.25
555,Tyshawn Taylor,6' 2.75'',6' 6.25'',74.75,78.25,3.5
556,Marquis Teague,6' 1'',6' 7.25'',73.0,79.25,6.25
557,Hollis Thompson,6' 6.75'',6' 9.5'',78.75,81.5,2.75
558,Dion Waiters,6' 2.5'',6' 7.25'',74.5,79.25,4.75
559,Royce White,6' 7'',7' 0'',79.0,84.0,5.0
560,Tony Wroten,6' 4.75'',6' 9'',76.75,81.0,4.25
561,Tyler Zeller,6' 11.25'',7' 0'',83.25,84.0,0.75
562,Quincy Acy,6' 6.5'',7' 2.75'',78.5,86.75,8.25
563,Harrison Barnes,6' 7'',6' 11.25'',79.0,83.25,4.25
564,Will Barton,6' 5'',6' 9.75'',77.0,81.75,4.75
565,Bradley Beal,6' 3.25'',6' 8'',75.25,80.0,4.75
566,J'Covan Brown,6' 1'',6' 5.25'',73.0,77.25,4.25
567,William Buford,6' 4'',6' 9.5'',76.0,81.5,5.5
568,Jae Crowder,6' 4.75'',6' 9.25'',76.75,81.25,4.5
569,Jared Cunningham,6' 3.5'',6' 6.5'',75.5,78.5,3.0
570,Anthony Davis,6' 9.25'',7' 5.5'',81.25,89.5,8.25
571,Marcus Denmon,6' 2.25'',6' 5'',74.25,77.0,2.75
572,Andre Drummond,6' 9.75'',7' 6.25'',81.75,90.25,8.5
573,Kim English,6' 4.5'',6' 6.5'',76.5,78.5,2.0
574,Festus Ezeli,6' 9.75'',7' 5.75'',81.75,89.75,8.0
575,Drew Gordon,6' 8'',6' 11.5'',80.0,83.5,3.5
576,Draymond Green,6' 5.75'',7' 1.25'',77.75,85.25,7.5
577,JaMychal Green,6' 8'',7' 2.25'',80.0,86.25,6.25
578,Maurice Harkless,6' 7.25'',7' 0'',79.25,84.0,4.75
579,John Henson,6' 9'',7' 5'',81.0,89.0,8.0
580,Tu Holloway,5' 10.5'',6' 5.5'',70.5,77.5,7.0
581,Robbie Hummel,6' 7.25'',6' 8.5'',79.25,80.5,1.25
582,Bernard James,6' 8.75'',7' 3'',80.75,87.0,6.25
583,John Jenkins,6' 3.25'',6' 8.5'',75.25,80.5,5.25
584,Orlando Johnson,6' 3.75'',6' 11.25'',75.75,83.25,7.5
585,Darius Johnson-Odom,6' 1.5'',6' 7'',73.5,79.0,5.5
586,Terrence Jones,6' 8.25'',7' 2.25'',80.25,86.25,6.0
587,Perry Jones,6' 10.25'',7' 1.75'',82.25,85.75,3.5
588,Kevin Jones,6' 6.25'',7' 1.5'',78.25,85.5,7.25
589,Kris Joseph,6' 6'',6' 11'',78.0,83.0,5.0
590,Michael Kidd-Gilchrist,6' 5.75'',7' 0'',77.75,84.0,6.25
591,Jeremy Lamb,6' 4'',6' 11'',76.0,83.0,7.0
592,Doron Lamb,6' 3.25'',6' 6.75'',75.25,78.75,3.5
593,Meyers Leonard,6' 11.75'',7' 3'',83.75,87.0,3.25
594,Damian Lillard,6' 1.75'',6' 7.75'',73.75,79.75,6.0
595,Scott Machado,6' 1'',6' 4'',73.0,76.0,3.0
596,Kendall Marshall,6' 3.25'',6' 5.5'',75.25,77.5,2.25
597,Fab Melo,6' 10.75'',7' 2.5'',82.75,86.5,3.75
598,Khris Middleton,6' 6.75'',6' 10.75'',78.75,82.75,4.0
599,Quincy Miller,6' 8.75'',7' 1.25'',80.75,85.25,4.5
600,Darius Miller,6' 6'',6' 9'',78.0,81.0,3.0
601,Tony Mitchell,6' 5.25'',6' 10'',77.25,82.0,4.75
602,Arnett Moultrie,6' 9.5'',7' 2.25'',81.5,86.25,4.75
603,Kevin Murphy,6' 5'',6' 6.75'',77.0,78.75,1.75
604,Andrew Nicholson,6' 8.5'',7' 4'',80.5,88.0,7.5
605,Kyle O'Quinn,6' 8.5'',7' 4.75'',80.5,88.75,8.25
606,Miles Plumlee,6' 10.5'',7' 0.75'',82.5,84.75,2.25
607,Austin Rivers,6' 3.5'',6' 7.25'',75.5,79.25,3.75
608,Thomas Robinson,6' 7.75'',7' 3.25'',79.75,87.25,7.5
609,Terrence Ross,6' 6'',6' 7.25'',78.0,79.25,1.25
610,Tomas Satoransky,6' 6.5'',6' 7.25'',78.5,79.25,0.75
611,Mike Scott,6' 7.25'',6' 10.75'',79.25,82.75,3.5
612,Henry Sims,6' 10'',7' 4'',82.0,88.0,6.0
613,Jared Sullinger,6' 7.75'',7' 1.25'',79.75,85.25,5.5
614,Jordan Taylor,6' 1'',6' 3'',73.0,75.0,2.0
615,Jeff Taylor,6' 6'',6' 6.25'',78.0,78.25,0.25
616,Tyshawn Taylor,6' 2.75'',6' 6.25'',74.75,78.25,3.5
617,Marquis Teague,6' 1'',6' 7.25'',73.0,79.25,6.25
618,Hollis Thompson,6' 6.75'',6' 9.5'',78.75,81.5,2.75
619,Dion Waiters,6' 2.5'',6' 7.25'',74.5,79.25,4.75
620,Royce White,6' 7'',7' 0'',79.0,84.0,5.0
621,Tony Wroten,6' 4.75'',6' 9'',76.75,81.0,4.25
622,Tyler Zeller,6' 11.25'',7' 0'',83.25,84.0,0.75
623,Mohamed Abukar,6' 8'',6' 9'',80.0,81.0,1.0
624,Mario Boggan,6' 5'',7' 2'',77.0,86.0,9.0
625,Craig Bradshaw,6' 8'',7' 1.5'',80.0,85.5,5.5
626,Corey Brewer,6' 6'',6' 8.25'',78.0,80.25,2.25
627,Aaron Brooks,5' 10'',6' 4'',70.0,76.0,6.0
628,Bobby Brown,5' 11'',6' 4'',71.0,76.0,5.0
629,Russell Carter,6' 3'',6' 8.5'',75.0,80.5,5.5
630,Coleman Collins,6' 8'',7' 2'',80.0,86.0,6.0
631,Mike Conley,5' 11'',6' 5.75'',71.0,77.75,6.75
632,Daequan Cook,6' 3'',6' 8.25'',75.0,80.25,5.25
633,Ryvon Covile,6' 7'',7' 1.25'',79.0,85.25,6.25
634,Javaris Crittenton,6' 3'',6' 5.5'',75.0,77.5,2.5
635,Jermareo Davidson,6' 9'',7' 4'',81.0,88.0,7.0
636,Justin Doellman,6' 8'',6' 8.75'',80.0,80.75,0.75
637,Zabian Dowdell,6' 1'',6' 10'',73.0,82.0,9.0
638,Jared Dudley,6' 5'',6' 7'',77.0,79.0,2.0
639,Kevin Durant,6' 9'',7' 4.75'',81.0,88.75,7.75
640,Rashaun Freeman,6' 6'',6' 11.5'',78.0,83.5,5.5
641,Aaron Gray,7' 0'',7' 3.25'',84.0,87.25,3.25
642,Caleb Green,6' 6'',6' 11.75'',78.0,83.75,5.75
643,Jeff Green,6' 7'',7' 1.25'',79.0,85.25,6.25
644,Taurean Green,5' 11'',6' 2.25'',71.0,74.25,3.25
645,Spencer Hawes,6' 10'',7' 0.5'',82.0,84.5,2.5
646,Brandon Heath,6' 2'',6' 7'',74.0,79.0,5.0
647,Herbert Hill,6' 7'',7' 2.25'',79.0,86.25,7.25
648,Al Horford,6' 8'',7' 0.75'',80.0,84.75,4.75
649,Quinton Hosley,6' 5'',6' 11.25'',77.0,83.25,6.25
650,James Hughes,6' 9'',7' 3'',81.0,87.0,6.0
651,Jeremy Hunt,6' 2'',6' 8.25'',74.0,80.25,6.25
652,Ekene Ibekwe,6' 8'',7' 6'',80.0,90.0,10.0
653,Dominic James,5' 10'',6' 2'',70.0,74.0,4.0
654,Trey Johnson,6' 3'',6' 5'',75.0,77.0,2.0
655,Rashad Jones-Jennings,6' 6'',7' 0'',78.0,84.0,6.0
656,Jared Jordan,6' 0'',6' 0'',72.0,72.0,0.0
657,Coby Karl,6' 3'',6' 11'',75.0,83.0,8.0
658,Antanas Kavaliauskas,6' 9'',6' 10.5'',81.0,82.5,1.5
659,Carl Landry,6' 7'',6' 11'',79.0,83.0,4.0
660,Stephane Lasme,6' 5'',7' 2'',77.0,86.0,9.0
661,Acie Law,6' 2'',6' 6.5'',74.0,78.5,4.5
662,Marko Lekic,6' 9'',7' 1'',81.0,85.0,4.0
663,Ron Lewis,6' 2'',6' 6.5'',74.0,78.5,4.5
664,Cartier Martin,6' 4'',6' 10'',76.0,82.0,6.0
665,Dominic McGuire,6' 7'',6' 10.5'',79.0,82.5,3.5
666,Josh McRoberts,6' 8'',7' 1'',80.0,85.0,5.0
667,Sammy Mejia,6' 5'',6' 11'',77.0,83.0,6.0
668,Brad Newley,6' 5'',6' 8'',77.0,80.0,3.0
669,Demetris Nichols,6' 6'',7' 0.25'',78.0,84.25,6.25
670,Joakim Noah,6' 10'',7' 1.25'',82.0,85.25,3.25
671,Greg Oden,6' 11'',7' 4.25'',83.0,88.25,5.25
672,Ivan Radenovic,6' 9'',6' 11.75'',81.0,83.75,2.75
673,JR Reynolds,6' 0'',6' 3.25'',72.0,75.25,3.25
674,Chris Richard,6' 7'',7' 4.5'',79.0,88.5,9.5
675,Dustin Salisbery,6' 3'',6' 8'',75.0,80.0,5.0
676,Blake Schilb,6' 5'',6' 9'',77.0,81.0,4.0
677,Renaldas Seibutis,6' 4'',6' 8.75'',76.0,80.75,4.75
678,Ramon Sessions,6' 2'',6' 4.25'',74.0,76.25,2.25
679,Mustafa Shakur,6' 3'',6' 5.5'',75.0,77.5,2.5
680,Jason Smith,6' 10.75'',6' 10.75'',82.75,82.75,0.0
681,DJ Strawberry,6' 3.75'',6' 6.5'',75.75,78.5,2.75
682,Rodney Stuckey,6' 3.75'',6' 7.25'',75.75,79.25,3.5
683,Curtis Sumpter,6' 6'',6' 9.5'',78.0,81.5,3.5
684,Yue Sun,6' 7.75'',6' 9'',79.75,81.0,1.25
685,Jamaal Tatum,5' 11.5'',6' 2.5'',71.5,74.5,3.0
686,Reyshawn Terry,6' 6.75'',6' 10'',78.75,82.0,3.25
687,Al Thornton,6' 5.75'',7' 1'',77.75,85.0,7.25
688,Anthony Tolliver,6' 7'',7' 2.5'',79.0,86.5,7.5
689,Ali Traore,6' 8.75'',7' 4'',80.75,88.0,7.25
690,Kyle Visser,6' 10'',6' 11'',82.0,83.0,1.0
691,Darryl Watkins,6' 8.75'',7' 3'',80.75,87.0,6.25
692,Major Wingate,6' 8.5'',7' 4'',80.5,88.0,7.5
693,DaShaun Wood,5' 10.75'',6' 0.75'',70.75,72.75,2.0
694,Brandan Wright,6' 8.75'',7' 3.75'',80.75,87.75,7.0
695,Julian Wright,6' 6.5'',7' 2.25'',78.5,86.25,7.75
696,Avis Wyatt,6' 8.75'',7' 1'',80.75,85.0,4.25
698,Thaddeus Young,6' 5.75'',6' 11.5'',77.75,83.5,5.75
699,Nick Young,6' 5'',7' 0'',77.0,84.0,7.0
700,Quincy Acy,6' 6.5'',7' 2.75'',78.5,86.75,8.25
701,Harrison Barnes,6' 7'',6' 11.25'',79.0,83.25,4.25
702,Will Barton,6' 5'',6' 9.75'',77.0,81.75,4.75
703,Bradley Beal,6' 3.25'',6' 8'',75.25,80.0,4.75
704,J'Covan Brown,6' 1'',6' 5.25'',73.0,77.25,4.25
705,William Buford,6' 4'',6' 9.5'',76.0,81.5,5.5
706,Jae Crowder,6' 4.75'',6' 9.25'',76.75,81.25,4.5
707,Jared Cunningham,6' 3.5'',6' 6.5'',75.5,78.5,3.0
708,Anthony Davis,6' 9.25'',7' 5.5'',81.25,89.5,8.25
709,Marcus Denmon,6' 2.25'',6' 5'',74.25,77.0,2.75
710,Andre Drummond,6' 9.75'',7' 6.25'',81.75,90.25,8.5
711,Kim English,6' 4.5'',6' 6.5'',76.5,78.5,2.0
712,Festus Ezeli,6' 9.75'',7' 5.75'',81.75,89.75,8.0
713,Drew Gordon,6' 8'',6' 11.5'',80.0,83.5,3.5
714,Draymond Green,6' 5.75'',7' 1.25'',77.75,85.25,7.5
715,JaMychal Green,6' 8'',7' 2.25'',80.0,86.25,6.25
716,Maurice Harkless,6' 7.25'',7' 0'',79.25,84.0,4.75
717,John Henson,6' 9'',7' 5'',81.0,89.0,8.0
718,Tu Holloway,5' 10.5'',6' 5.5'',70.5,77.5,7.0
719,Robbie Hummel,6' 7.25'',6' 8.5'',79.25,80.5,1.25
720,Bernard James,6' 8.75'',7' 3'',80.75,87.0,6.25
721,John Jenkins,6' 3.25'',6' 8.5'',75.25,80.5,5.25
722,Orlando Johnson,6' 3.75'',6' 11.25'',75.75,83.25,7.5
723,Darius Johnson-Odom,6' 1.5'',6' 7'',73.5,79.0,5.5
724,Terrence Jones,6' 8.25'',7' 2.25'',80.25,86.25,6.0
725,Perry Jones,6' 10.25'',7' 1.75'',82.25,85.75,3.5
726,Kevin Jones,6' 6.25'',7' 1.5'',78.25,85.5,7.25
727,Kris Joseph,6' 6'',6' 11'',78.0,83.0,5.0
728,Michael Kidd-Gilchrist,6' 5.75'',7' 0'',77.75,84.0,6.25
729,Jeremy Lamb,6' 4'',6' 11'',76.0,83.0,7.0
730,Doron Lamb,6' 3.25'',6' 6.75'',75.25,78.75,3.5
731,Meyers Leonard,6' 11.75'',7' 3'',83.75,87.0,3.25
732,Damian Lillard,6' 1.75'',6' 7.75'',73.75,79.75,6.0
733,Scott Machado,6' 1'',6' 4'',73.0,76.0,3.0
734,Kendall Marshall,6' 3.25'',6' 5.5'',75.25,77.5,2.25
735,Fab Melo,6' 10.75'',7' 2.5'',82.75,86.5,3.75
736,Khris Middleton,6' 6.75'',6' 10.75'',78.75,82.75,4.0
737,Quincy Miller,6' 8.75'',7' 1.25'',80.75,85.25,4.5
738,Darius Miller,6' 6'',6' 9'',78.0,81.0,3.0
739,Tony Mitchell,6' 5.25'',6' 10'',77.25,82.0,4.75
740,Arnett Moultrie,6' 9.5'',7' 2.25'',81.5,86.25,4.75
741,Kevin Murphy,6' 5'',6' 6.75'',77.0,78.75,1.75
742,Andrew Nicholson,6' 8.5'',7' 4'',80.5,88.0,7.5
743,Kyle O'Quinn,6' 8.5'',7' 4.75'',80.5,88.75,8.25
744,Miles Plumlee,6' 10.5'',7' 0.75'',82.5,84.75,2.25
745,Austin Rivers,6' 3.5'',6' 7.25'',75.5,79.25,3.75
746,Thomas Robinson,6' 7.75'',7' 3.25'',79.75,87.25,7.5
747,Terrence Ross,6' 6'',6' 7.25'',78.0,79.25,1.25
748,Tomas Satoransky,6' 6.5'',6' 7.25'',78.5,79.25,0.75
749,Mike Scott,6' 7.25'',6' 10.75'',79.25,82.75,3.5
750,Henry Sims,6' 10'',7' 4'',82.0,88.0,6.0
751,Jared Sullinger,6' 7.75'',7' 1.25'',79.75,85.25,5.5
752,Jordan Taylor,6' 1'',6' 3'',73.0,75.0,2.0
753,Jeff Taylor,6' 6'',6' 6.25'',78.0,78.25,0.25
754,Tyshawn Taylor,6' 2.75'',6' 6.25'',74.75,78.25,3.5
