name,height_inches,wingspan_inches
Jordan Taylor,73.0,75.0
Tyshawn Taylor,74.75,78.25
Marquis Teague,73.0,79.25
Hollis Thompson,78.75,81.5
Dion Waiters,74.5,79.25
Royce White,79.0,84.0
Tony Wroten,76.75,81.0
Tyler Zeller,83.25,84.0
Keith Benson,82.0,87.75
Marshon Brooks,76.25,85.0
Alec Burks,77.0,82.0
Jimmy Butler,78.0,79.5
Norris Cole,72.25,74.25
Jon Diebler,77.25,78.0
Michael Dunigan,80.5,87.25
LaceDarius Dunn,75.0,78.25
Kenneth Faried,78.0,84.0
James Fredette,72.75,76.5
Andrew Goudelock,73.25,76.25
Jordan Hamilton,78.75,81.5
Justin Harper,80.0,83.75
Tobias Harris,78.5,83.0
Tyler Honeycutt,78.75,81.0
Scotty Hopson,77.75,82.5
Kyrie Irving,73.75,76.0
Rick Jackson,80.25,86.0
Charles Jenkins,73.5,79.5
JaJuan Johnson,81.0,86.0
Cory Joseph,74.0,77.5
Enes Kanter,81.75,85.5
Brandon Knight,73.5,78.75
Malcolm Lee,76.0,81.75
Kawhi Leonard,78.0,87.0
Travis Leslie,75.0,82.5
Jon Leuer,82.0,84.0
DeAndre Liggins,77.0,83.0
David Lighty,76.75,80.0
Shelvin Mack,73.0,79.5
Demetri McCamey,73.75,78.25
E'Twaun Moore,74.5,81.5
Darius Morris,75.25,79.5
Marcus Morris,79.0,82.0
Markieff Morris,79.75,82.75
Chandler Parsons,80.75,81.5
Jereme Richmond,78.0,82.25
Josh Selby,73.75,77.25
Iman Shumpert,76.25,81.5
Kyle Singler,79.5,82.1
Chris Singleton,79.75,85.0
Jamie Skeen,78.5,85.25
Gregory Smith,80.0,86.5
Nolan Smith,73.5,77.5
Isaiah Thomas,68.75,73.75
Malcolm Thomas,79.5,84.5
Trey Thompkins,80.5,85.0
Klay Thompson,77.75,81.0
Tristan Thompson,79.5,85.25
Jeremy Tyler,81.0,89.0
Nikola Vucevic,82.25,88.5
Kemba Walker,71.5,75.5
Derrick Williams,79.25,85.5
Jordan Williams,79.75,84.25
Solomon Alabi,83.5,89.0
Cole Aldrich,81.0,88.75
Al-Farouq Aminu,79.25,87.25
James Anderson,76.75,80.5
Luke Babbitt,79.5,83.25
Eric Bledsoe,72.25,79.5
Trevor Booker,78.25,81.75
Craig Brackins,80.5,84.0
Avery Bradley,74.0,79.25
Derrick Caracter,80.25,84.25
Sherron Collins,70.25,74.5
DeMarcus Cousins,81.5,89.75
Jordan Crawford,75.0,79.0
Ed Davis,81.0,84.0
Devin Ebanks,79.0,84.25
Derrick Favors,80.75,88.0
Keith Gallon,80.5,88.5
Charles Garcia,80.25,85.75
Paul George,79.75,83.25
Luke Harangody,78.0,81.5
Manny Harris,76.0,79.25
Gordon Hayward,78.75,79.75
Lazar Hayward,76.5,84.75
Xavier Henry,77.25,83.25
Darington Hobson,77.25,81.25
Damion James,78.25,84.75
Armon Johnson,74.0,80.0
Wesley Johnson,78.25,85.0
Dominique Jones,75.25,81.25
Jerome Jordan,83.5,89.25
Sylven Landesberg,76.75,81.0
Gani Lawal,79.5,84.0
Greg Monroe,81.75,86.25
Daniel Orton,80.75,88.25
Artsiom Parakhouski,82.25,85.0
Patrick Patterson,80.0,85.25
Dexter Pittman,81.5,90.0
Andy Rautins,76.25,79.0
Ryan Richards,82.5,85.5
Stanley Robinson,78.5,84.0
Larry Sanders,81.25,89.75
Jon Scheyer,76.75,75.25
Lance Stephenson,76.5,82.5
Mikhail Torrance,76.0,79.5
Evan Turner,77.75,80.0
Ekpe Udoh,80.75,88.5
Jarvis Varnado,80.25,87.5
Greivis Vasquez,77.0,79.0
John Wall,74.75,81.25
Willie Warren,74.5,78.0
Terrico White,75.75,81.0
Hassan Whiteside,82.5,91.0
Jeff Adrien,77.25,86.0
Jeff Ayres,80.75,85.0
Rodrigue Beaubois,73.25,81.75
DeJuan Blair,77.25,86.0
Derrick Brown,79.5,86.5
Chase Budinger,78.25,79.0
DeMarre Carroll,78.25,82.0
Omri Casspi,79.75,81.25
Dionte Christmas,76.25,81.0
Earl Clark,80.5,86.5
Darren Collison,72.25,75.0
Dante Cunningham,79.0,83.0
Stephen Curry,74.0,75.5
Austin Daye,81.75,86.75
DeMar DeRozan,77.5,81.0
Toney Douglas,73.0,78.0
Wayne Ellington,76.25,78.5
Tyreke Evans,76.0,83.25
Jonny Flynn,71.25,76.0
Taj Gibson,80.5,88.0
Danny Green,77.25,82.0
Blake Griffin,80.5,83.25
Tyler Hansbrough,80.25,83.5
James Harden,76.0,82.75
Gerald Henderson,76.0,82.25
Josh Heytvelt,82.0,85.25
Jordan Hill,81.25,85.5
Jrue Holiday,75.25,79.0
Joe Ingles,79.75,82.25
James Johnson,79.0,84.75
Ty Lawson,71.25,72.75
Eric Maynor,74.25,74.5
Jack McClinton,71.75,74.5
Jerel McNeal,73.5,79.25
Jodie Meeks,75.0,76.5
Patty Mills,71.25,74.0
Byron Mullens,83.75,85.5
A.J. Price,72.5,75.75
DaJuan Summers,79.25,84.75
Jermaine Taylor,75.5,80.75
Jeff Teague,72.25,79.5
Hasheem Thabeet,85.25,90.25
Terrence Williams,77.0,81.0
Sam Young,77.25,82.75
Joe Alexander,79.25,83.5
Darrell Arthur,79.5,82.75
D.J. Augustin,70.0,75.5
Jerryd Bayless,73.75,75.5
Michael Beasley,79.0,84.25
Ramel Bradley,73.25,77.0
Tyrone Brazelton,70.0,73.75
Takais Brown,79.25,82.0
Keith Brumbaugh,79.5,79.25
Stanley Burrell,73.5,78.25
Brian Butch,81.5,83.25
Jamar Butler,72.25,76.75
Pat Calathes,80.75,81.75
Joe Crawford,75.0,77.75
Chris Daniels,80.25,84.5
Joey Dorsey,78.25,85.75
Marcus Dove,78.75,83.5
Josh Duncan,80.0,83.5
Frank Elegar,79.25,87.25
Patrick Ewing Jr.,78.0,84.25
Gary Forbes,76.5,83.25
Shan Foster,76.0,83.5
J.R. Giddens,76.0,83.25
James Gist,79.0,88.0
Vladimir Golubovic,83.25,86.5
Eric Gordon,74.0,81.0
Kentrell Gransberry,78.75,82.25
Donte Greene,80.25,82.0
Malik Hairston,76.25,81.0
DeVon Hardin,81.5,87.0
Richard Hendrix,78.75,87.0
George Hill,73.25,81.0
Kyle Hines,75.75,85.25
Jiri Hubalek,81.5,82.75
Lester Hudson,71.75,80.75
Othello Hunter,78.5,87.0
Darnell Jackson,79.0,83.25
Shawn James,79.75,89.0
Davon Jefferson,77.25,81.5
Joseph Jones,79.0,84.25
DeAndre Jordan,81.75,90.0
Sasha Kaun,81.0,88.0
Marcelus Kemp,75.0,80.5
Maarty Leunen,79.25,80.0
Longar Longar,81.0,85.25
Brook Lopez,83.25,89.5
Kevin Love,79.75,83.25
Aleks Maric,81.75,85.0
O.J. Mayo,75.25,78.0
James Mays,78.75,85.75
Luc Mbah a Moute,77.75,86.5
JaVale McGee,83.0,90.0
Drew Neitzel,71.75,74.5
DeMarcus Nelson,73.0,82.0
David Padgett,82.25,85.0
Jeremy Pargo,72.5,77.0
Trent Plaisted,81.25,82.5
Quan Prowell,78.75,82.5
Shaun Pruitt,80.25,85.0
Anthony Randolph,81.0,87.0
Charles Rhodes,79.25,83.25
John Riek,82.5,92.75
Brian Roberts,72.25,73.25
Russell Robinson,72.5,80.0
Richard Roby,76.25,81.75
Derrick Rose,73.5,80.0
Sean Singletary,71.0,76.5
Ronald Steele,72.25,76.25
Bryce Taylor,74.75,81.0
Mike Taylor,72.75,79.25
Mark Tyndale,74.75,83.0
Robert Vaden,75.5,80.0
Deron Washington,77.25,81.0
Sonny Weems,76.0,82.0
Russell Westbrook,74.25,79.75
Reggie Williams,75.25,81.25
Mohamed Abukar,80.0,81.0
Mario Boggan,77.0,86.0
Craig Bradshaw,80.0,85.5
Corey Brewer,78.0,80.25
Aaron Brooks,70.0,76.0
Bobby Brown,71.0,76.0
Russell Carter,75.0,80.5
Coleman Collins,80.0,86.0
Mike Conley,71.0,77.75
Daequan Cook,75.0,80.25
Ryvon Covile,79.0,85.25
Javaris Crittenton,75.0,77.5
Jermareo Davidson,81.0,88.0
Justin Doellman,80.0,80.75
Zabian Dowdell,73.0,82.0
Jared Dudley,77.0,79.0
Kevin Durant,81.0,88.75
Rashaun Freeman,78.0,83.5
Aaron Gray,84.0,87.25
Caleb Green,78.0,83.75
Jeff Green,79.0,85.25
Taurean Green,71.0,74.25
Spencer Hawes,82.0,84.5
Brandon Heath,74.0,79.0
Herbert Hill,79.0,86.25
Al Horford,80.0,84.75
Quinton Hosley,77.0,83.25
James Hughes,81.0,87.0
Jeremy Hunt,74.0,80.25
Ekene Ibekwe,80.0,90.0
Dominic James,70.0,74.0
Trey Johnson,75.0,77.0
Rashad Jones-Jennings,78.0,84.0
Jared Jordan,72.0,72.0
Coby Karl,75.0,83.0
Antanas Kavaliauskas,81.0,82.5
Carl Landry,79.0,83.0
Stephane Lasme,77.0,86.0
Acie Law,74.0,78.5
Marko Lekic,81.0,85.0
Ron Lewis,74.0,78.5
Cartier Martin,76.0,82.0
Dominic McGuire,79.0,82.5
Josh McRoberts,80.0,85.0
Sammy Mejia,77.0,83.0
Brad Newley,77.0,80.0
Demetris Nichols,78.0,84.25
Joakim Noah,82.0,85.25
Greg Oden,83.0,88.25
Ivan Radenovic,81.0,83.75
JR Reynolds,72.0,75.25
Chris Richard,79.0,88.5
Dustin Salisbery,75.0,80.0
Blake Schilb,77.0,81.0
Renaldas Seibutis,76.0,80.75
Ramon Sessions,74.0,76.25
Mustafa Shakur,75.0,77.5
Jason Smith,82.75,82.75
DJ Strawberry,75.75,78.5
Rodney Stuckey,75.75,79.25
Curtis Sumpter,78.0,81.5
Yue Sun,79.75,81.0
Jamaal Tatum,71.5,74.5
Reyshawn Terry,78.75,82.0
Al Thornton,77.75,85.0
Anthony Tolliver,79.0,86.5
Ali Traore,80.75,88.0
Kyle Visser,82.0,83.0
Darryl Watkins,80.75,87.0
Major Wingate,80.5,88.0
DaShaun Wood,70.75,72.75
Brandan Wright,80.75,87.75
Julian Wright,78.5,86.25
Avis Wyatt,80.75,85.0
Nick Young,77.0,84.0
Thaddeus Young,77.75,83.5
Kenny Adeleke,78.5,82.25
Maurice Ager,75.25,79.75
LaMarcus Aldridge,82.0,88.75
Morris Almond,76.75,82.0
Lou Amundson,79.2,83.5
Rashad Anderson,75.25,79.0
Hilton Armstrong,81.5,88.0
James Augustine,80.25,84.25
Renaldo Balkman,77.25,85.0
J.P. Batista,79.5,82.0
Will Blalock,71.25,78.0
Brandon Bowman,78.75,83.5
Ronnie Brewer,77.75,83.25
Denham Brown,76.0,81.5
Brad Buckman,79.25,84.0
Nik Caner-Medley,78.5,81.0
Rodney Carney,76.5,82.0
Keydren Clark,69.0,74.5
Mardy Collins,76.25,82.0
Taquan Dean,74.0,78.75
Terence Dials,79.75,84.0
Sean Dockery,72.75,76.5
Jordan Farmar,72.75,75.0
Randy Foye,74.25,78.25
Torin Francis,81.0,85.0
Rudy Gay,79.0,87.0
Nick George,76.0,82.0
Taj Gray,79.25,84.75
Dan Grunfeld,76.75,78.25
Matt Haryasz,81.75,84.25
Eric Hicks,76.75,85.5
Tedric Hill,79.75,85.0
Daniel Horton,72.5,79.0
Bobby Jones,77.75,81.5
Solomon Jones,80.5,88.75
Viktor Keyru,77.25,81.25
Marco Killingsworth,77.5,87.0
Tarence Kinsey,76.75,78.75
Carl Krauser,71.75,78.25
Chris McCray,75.0,77.75
Gerry McNamara,71.75,72.75
Pops Mensah-Bonsu,79.5,84.0
Paul Miller,80.5,84.0
Paul Millsap,78.25,85.5
Dwayne Mitchell,74.0,78.5
Adam Morrison,78.5,82.0
Yemi Nicholson,79.75,88.25
David Noel,76.5,81.5
Steve Novak,80.0,81.5
Patrick O'Bryant,83.0,89.75
Danilo Pinnock,74.75,79.5
Chris Quinn,72.5,77.0
Allan Ray,73.0,80.5
JJ Redick,76.0,75.25
Antywane Robinson,78.25,86.5
Brandon Roy,77.25,80.0
Mouhamed Sene,83.0,92.5
Cedric Simmons,80.25,88.25
Marcus Slaughter,79.0,83.5
Craig Smith,77.5,81.5
Steven Smith,79.5,84.5
Michael Southhall,81.5,88.25
Frans Steyn,85.25,86.25
Curtis Stinson,73.75,77.0
Tyrus Thomas,79.25,87.0
Joah Tucker,75.75,78.5
Ian Vouyoukas,80.5,84.75
Darius Washington,71.5,76.0
CJ Watson,72.5,78.0
Eric Williams,79.25,88.25
Justin Williams,79.25,85.5
Marcus Williams,74.0,79.0
Shawne Williams,79.25,87.0
Shelden Williams,79.5,88.25
Curtis Withers,78.0,82.0
Alex Acker,75.75,84.0
Deji Akindele,81.5,87.0
Mustafa Al-Sayyad,,
Nemanja Aleksandrov,82.0,83.0
Alan Anderson,76.5,81.5
Martynas Andriuskevicius,85.25,83.25
Sean Banks,77.75,85.0
Eddie Basden,76.25,82.25
Mike Bell,80.75,85.5
Andrew Bogut,83.0,87.0
Dee Brown,71.0,74.0
Will Bynum,70.5,75.5
Marcus Campbell,82.25,90.0
Will Conroy,73.0,75.0
Taylor Coppenrath,79.75,83.5
Travis Diener,71.75,71.75
Ike Diogu,78.5,87.5
Daryl Dorsey,71.25,71.5
Monta Ellis,74.25,74.75
Raymond Felton,71.5,76.25
Rudy Fernandez,76.75,79.5
D'Or Fischer,81.25,90.0
Eddy Fobbs,82.25,90.75
Sharrod Ford,79.25,85.5
Channing Frye,81.5,86.5
Deng Gai,79.75,88.5
Francisco Garcia,77.75,82.75
John Gilchrist,73.25,81.25
Marcin Gortat,83.0,87.5
Joey Graham,77.25,80.0
Danny Granger,79.5,85.5
Gerald Green,78.0,81.75
Charles Hayes,77.5,82.0
Luther Head,74.0,77.25
Julius Hodge,78.0,84.5
Jared Homan,79.75,85.25
Ersan Ilyasova,79.75,85.25
Jarrett Jack,74.5,79.5
Dwayne Jones,80.5,86.75
Mindaugas Katelynas,79.5,83.0
Jason Klotz,80.5,82.0
Keith Langford,74.25,81.0
David Lee,79.75,84.0
John Lucas III,69.25,72.0
David Lucas,78.5,84.0
Rawle Marshall,76.5,85.0
Jason Maxiell,77.0,87.25
Sean May,79.0,85.25
Rashad McCants,74.75,82.75
Ivan McFarlin,77.5,81.0
Juan Mendez,77.25,84.0
Aaron Miles,72.0,75.5
Ellis Myles,78.0,81.75
Larry O'Bannon,75.0,78.0
Drago Pasalic,81.5,83.75
Chris Paul,71.75,76.25
Kevin Pittsnogle,81.25,82.5
Carlos Powell,77.25,82.75
Roger Powell,76.75,83.5
Ronnie Price,72.75,77.5
Anthony Roberson,72.75,74.75
Brandon Rush,77.0,83.25
Luke Schenscher,83.75,89.0
Wayne Simien,79.25,84.0
Tre Simmons,76.0,79.5
David Simon,80.0,87.5
Chris Taft,80.5,85.75
Chris Thomas,71.75,75.0
Omar Thomas,75.25,80.0
Dijon Thompson,78.25,81.75
Ronny Turiaf,80.0,85.5
Charlie Villanueva,81.0,84.25
Hakim Warrick,79.25,86.0
Martell Webster,78.0,83.0
Robert Whaley,80.0,86.0
Deron Williams,73.75,78.25
Jawad Williams,79.0,85.25
Marvin Williams,79.0,87.5
Antoine Wright,77.25,80.75
Bracey Wright,73.25,82.0
Tony Allen,75.5,81.0
Trevor Ariza,79.0,86.0
Andre Barrett,68.75,73.0
Brandon Bass,78.25,86.5
Andris Biedrins,,
Tony Bobbitt,74.75,79.0
Brian Boddicker,79.5,82.0
Tim Bowers,72.5,81.0
Andre Brown,80.0,83.0
Antonio Burks,72.0,78.5
Jackie Butler,80.0,85.5
Aleksandar Capin,72.0,73.5
Ales Chan,84.0,87.0
Josh Childress,77.75,83.0
TJ Cummings,79.5,81.5
Erik Daniels,78.25,83.0
Luol Deng,79.0,84.5
Marcus Douthit,81.5,88.0
Chris Duhon,72.0,78.5
John Edwards,83.25,88.5
Andre Emmett,75.5,81.0
Desmon Farmer,76.5,80.5
Luis Flores,72.5,79.5
Matt Freije,80.25,85.0
Chris Garnett,80.25,85.0
Ryan Gomes,78.5,86.0
Ben Gordon,73.0,80.5
Devin Harris,73.75,79.5
Dwight Howard,81.0,88.5
Rolando Howell,79.5,84.5
Kris Humphries,80.25,84.5
Andre Iguodala,77.75,83.0
Martin Iti,80.5,89.0
Luke Jackson,78.0,80.5
Al Jefferson,80.5,86.5
Arthur Johnson,79.0,87.0
Ivan Koljevic,73.0,74.5
Herve Lamizana,79.5,85.5
Sergei Lishouk,82.25,84.0
Shaun Livingston,78.25,83.0
Jaime Lloreda,78.75,81.5
Bryant Matthews,77.75,84.5
Marcus Melvin,78.75,84.0
Rich Melzer,79.5,86.0
Ricky Minard,75.25,79.0
James Moore,78.5,84.5
Marcus Moore,76.0,81.0
Michel Morandais,75.75,83.5
Jameer Nelson,71.0,74.5
Misan Nikagbatse,75.5,82.0
Emeka Okafor,80.75,88.0
Randall Orr,81.0,82.5
Dylan Page,79.5,79.0
Rickey Paulding,74.75,81.5
Kelvin Pena,74.25,78.5
Tim Pickett,75.0,79.5
Omar Quintero,69.75,71.5
Peter Ramos,85.75,89.5
Jared Reiner,82.0,84.5
Lawrence Roberts,79.5,81.5
Bernard Robinson,77.25,82.0
Nate Robinson,67.75,73.0
Aerick Sanders,78.5,83.5
Romain Sato,74.0,83.0
Blagota Sekulic,81.25,83.0
J.R. Smith,77.5,82.0
Josh Smith,79.0,84.0
Kirk Snyder,78.0,81.0
Pape Sow,80.5,86.0
Tiago Splitter,82.25,86.0
Blake Stepp,,
Tom Timmerrmans,82.5,83.0
Marko Tomas,78.5,79.0
Beno Udrih,74.5,76.5
Jackson Vroman,81.25,84.0
Delonte West,73.5,78.0
Damien Wilkins,76.5,84.0
Mike Williams,77.5,83.5
Nate Williams,80.5,85.5
Rashad Wright,72.5,82.0
Aloysius Anagonye,78.75,86.5
Rick Anderson,80.25,83.0
Carmelo Anthony,78.25,84.0
Jerome Beasley,81.0,84.5
Troy Bell,72.25,77.0
LaVell Blanchard,78.0,78.0
Keith Bogans,76.25,81.25
Matt Bonner,80.5,80.75
Chris Bosh,82.25,87.5
Jermaine Boyette,73.0,76.0
Souleymane Camara,81.75,86.25
Matt Carroll,77.0,78.5
Nick Collison,80.75,85.5
Brian Cook,81.5,86.0
Joel Cornette,80.25,81.25
Marquis Daniels,77.25,82.0
Aleksander Djuric,82.0,84.0
Ruben Douglas,75.5,79.25
Ronald Dupree,78.0,80.25
Carl English,76.0,77.25
Ebi Ere,75.5,82.5
Marquis Estill,80.5,88.0
T.J. Ford,71.0,71.5
Jason Gardner,69.75,73.0
Willie Green,74.5,79.25
Justin Hamilton,75.0,83.0
Travis Hansen,76.5,78.5
Trevor Harvey,81.5,85.0
Marcus Hatten,72.75,78.25
Kirk Hinrich,74.75,78.0
Jerry Holman,80.75,87.25
Sam Hoskin,79.25,82.75
Josh Howard,77.25,86.0
Brandon Hunter,78.5,86.75
Sani Ibrahim,80.5,85.0
Michael Ignerski,81.5,82.75
Robert Jackson,79.75,84.0
LeBron James,79.25,84.25
Britton Johnsen,82.0,82.75
Dahntay Jones,76.75,81.0
James Jones,79.25,86.5
Chris Kaman,83.5,83.75
Jason Kapono,78.5,78.5
Jason Keep,81.75,84.5
Bernard King,75.75,77.5
Brandin Knight,71.75,78.0
Kyle Korver,78.25,81.5
James Lang,80.25,90.25
Donald Little,81.5,87.0
Chris Marcus,84.0,92.0
Chris Massie,78.5,85.0
Will McDonald,81.5,87.5
Darko Milicic,83.5,89.0
Jeff Newton,80.0,85.0
Uche Nsonwu-Amadi,79.75,87.75
Ugonna Okyekwe,79.25,87.0
Marlon Parmer,72.75,75.5
Stephane Pelle,79.0,86.0
Kirk Penney,77.0,77.25
Pavel Podkolzin,87.5,89.75
Josh Powell,80.0,85.0
Hollis Price,71.5,76.5
Luke Ridnour,73.0,75.0
Joe Shipp,76.0,82.0
Ron Slay,78.0,82.0
Theron Smith,78.5,82.25
Tommy Smith,81.0,86.5
Marvin Stone,81.5,87.5
Michael Sweetney,79.25,85.0
Sasha Vujacic,77.5,77.5
Dwyane Wade,75.75,82.75
Wayne Wallace,79.25,86.0
Luke Walton,79.75,80.5
David West,80.25,88.25
Mo Williams,72.75,77.5
Wesley Wilson,82.25,87.0
Doug Wrenn,77.75,91.5
Derrick Zimmerman,73.0,81.0
Robert Archibald,82.0,83.75
Maurice Baker,71.75,76.0
Matt Barnes,78.75,81.0
Lubos Barton,78.5,84.0
Lonny Baxter,78.25,85.5
Lee Benson,80.25,85.75
Carlos Boozer,79.75,86.25
Curtis Borchardt,82.75,86.5
J.R. Bremer,73.25,74.25
Brian Brown,74.5,79.0
Sylvere Bryan,81.0,88.5
Chris Burgess,82.0,83.5
Caron Butler,77.25,83.5
Rasual Butler,78.75,84.0
Mire Chatman,72.0,78.0
Chris Christoffersen,84.75,87.5
Lenny Cooke,77.5,85.0
Craig Dawson,75.5,78.25
Mike Dunleavy,80.0,81.0
Teddy Dupay,69.5,70.75
Corsley Edwards,79.25,82.75
Andy Ellis,81.25,82.25
Melvin Ely,81.0,88.0
Reggie Evans,79.5,86.5
Peter Fehse,82.0,84.5
Drew Gooden,80.75,84.5
David Graves,76.5,79.0
Lynn Greer,72.25,73.0
Rod Grizzard,78.0,84.0
Anthony Grundy,72.75,79.75
Marcus Haislip,80.5,84.0
Damon Hancock,74.75,78.0
Greg Harrington,73.0,75.75
Udonis Haslem,79.75,83.0
Cordell Henry,68.0,73.0
Randy Holcomb,79.0,85.0
Ryan Humphrey,78.0,84.0
Jared Jeffries,82.0,84.5
Jason Jennings,83.25,91.0
Fred Jones,74.25,84.0
Lonnie Jones,82.25,86.25
Mario Kasun,83.75,83.5
Sean Kennedy,72.75,74.5
Kris Lang,81.25,83.75
Muhammed Lasege,80.75,86.0
Steve Logan,70.0,71.75
Kevin Lyde,80.75,86.0
Tito Maddox,75.0,77.0
Kei Madison,79.75,84.5
Immanuel McElroy,74.25,78.5
Aaron McGhee,79.0,82.0
Elvin Mims,76.25,85.5
Byron Mouton,76.5,82.25
Ronald Murray,75.0,79.5
Nene,81.25,88.5
Uche Okafor,81.0,89.5
Chris Owens,79.0,83.5
Jannero Pargo,72.25,74.5
Smush Parker,74.5,82.0
Luke Recker,76.75,79.0
Rolan Roberts,77.75,85.0
Travis Robinson,77.25,82.5
Kareem Rush,76.75,81.75
Brooks Sales,81.0,82.0
John Salmons,77.5,82.25
Predrag Savovic,76.75,79.0
Julian Sensley,79.0,83.5
Israel Sheinfeld,80.25,81.75
Preston Shumpert,78.0,80.5
Tamar Slay,78.75,83.5
Darius Songaila,80.0,85.0
Amar'e Stoudemire,80.5,85.75
Marcus Taylor,73.0,76.5
Jobey Thomas,74.75,77.75
Dajuan Wagner,72.75,74.0
Chris Wilcox,80.25,85.0
Frank Williams,73.5,80.0
George Williams,77.75,84.5
Jay Williams,72.25,75.5
Qyntel Woods,79.0,82.0
Vincent Yarbrough,77.5,84.5
Adam Allenspach,83.5,84.5
Gilbert Arenas,74.25,81.5
Brandon Armstrong,75.5,81.5
Shane Battier,80.25,82.5
Cookie Belcher,75.0,80.5
Charlie Bell,74.5,79.5
Ruben Boumtje-Boumtje,83.5,88.0
Calvin Bowman,80.75,83.5
Michael Bradley,81.5,85.5
Jamison Brewer,74.5,80.75
Damone Brown,80.25,83.75
Kwame Brown,82.0,85.0
SirValiant Brown,71.0,76.0
Ryan Carroll,76.0,80.25
Tyson Chandler,83.5,87.0
Eric Chenowith,85.0,88.0
Sam Clancy,78.25,86.75
Gyasi Cline-Heard,78.25,83.5
Jarron Collins,81.25,87.0
Jason Collins,82.25,88.5
Omar Cook,71.5,77.5
Eddy Curry,82.5,90.5
Tate Decker,81.25,83.75
DeSagana Diop,82.0,90.5
Robb Dryden,85.0,86.5
Anthony Evans,78.0,83.5
Maurice Evans,76.25,80.0
Benjamin Eze,80.75,90.0
Kimani Ffriend,81.5,82.75
Alton Ford,80.25,82.5
Joseph Forte,75.5,78.5
Jerry Green,73.5,78.25
Kenny Gregory,75.5,83.25
Eddie Griffin,81.25,87.0
Trenton Hassell,76.25,80.0
Kirk Haston,80.0,84.25
Charles Hathaway,80.0,86.0
Brendan Haywood,83.75,90.5
Michael Hicks,76.0,81.25
Steven Hunter,82.25,88.0
Andre Hutson,80.25,83.75
Nate James,76.75,82.75
Richard Jefferson,79.25,84.0
Horace Jenkins,71.75,77.25
Darrell Johns,83.25,89.0
Joe Johnson,78.75,81.0
Ken Johnson,82.75,88.0
Darren Kelly,74.0,78.75
Sean Lampley,77.5,81.25
Zach Marbury,73.25,75.5
Mike Mardesich,82.25,84.5
DeMarcus Minor,75.25,80.25
Jamario Moon,78.5,83.5
Troy Murphy,81.75,83.0
Troy Ostler,80.75,85.5
Lazaros Papadopoulos,82.25,86.5
Rashad Phillips,69.0,73.5
Demetrius Porter,70.75,74.75
Martin Rancik,80.75,80.0
Jason Richardson,76.75,83.5
Norman Richardson,75.5,76.5
Jeryl Sasser,77.5,82.5
Kenny Satterfield,73.0,76.5
Brian Scalabrine,80.75,81.75
Lee Scruggs,82.25,89.75
Bobby Simmons,78.25,84.25
Will Solomon,71.75,81.5
Greg Stevenson,75.75,84.5
Damone Thornton,78.75,85.75
Jamaal Tinsley,72.75,79.5
Tory Walker,78.75,83.25
Souleymane Wane,80.5,89.0
Earl Watson,72.0,78.75
Rodney White,79.5,83.5
Loren Woods,84.75,89.5
Brent Wright,79.75,85.5
Michael Wright,79.0,83.5
Malik Allen,80.25,86.5
Harold Arceneaux,76.5,80.5
Lamont Barnes,80.5,87.5
Mario Bland,77.5,84.0
Primoz Brezec,84.75,86.0
Ernest Brown,82.0,85.25
Speedy Claxton,70.5,72.0
Eric Coley,76.0,83.0
Ed Cota,72.25,76.0
Schea Cotton,76.25,79.0
Jamal Crawford,76.5,82.0
Caswell Cyrus,79.75,86.0
Julius Doc Robinson,72.0,75.75
Khalid El-Amin,69.0,73.5
Vassil Evtimov,81.75,82.5
Antonis Fotsis,81.25,80.5
Eddie Gill,71.75,76.0
Ceedric Goodwyn,78.0,82.0
Marcus Goree,79.5,84.5
A.J. Granger,79.5,81.5
A.J. Guyton,72.75,75.75
Ron Hale,79.5,83.0
Jason Hart,73.75,78.0
Donnell Harvey,79.25,84.5
Johnny Hemsley,74.75,80.0
Michael Hermon,74.75,78.25
Cory Hightower,77.5,83.0
Shaheen Holloway,69.5,70.0
Eddie House,71.75,75.5
Jimmie Hunter,75.0,80.0
Jacob Jaacks,81.25,83.0
Marko Jaric,78.5,81.0
Nate Johnson,78.5,80.5
Kenyon Jones,81.0,85.0
Mark Karcher,76.0,80.0
Brandon Kurtz,81.5,83.25
Dan Langhi,81.0,80.0
Justin Love,73.5,76.5
Mark Madsen,80.0,84.5
Dan McClintock,83.0,85.5
Pete Mickeal,77.0,81.5
Brian Montonati,80.75,82.5
Gabe Muoneke,78.25,84.5
Ndongo N'diaye,83.5,87.5
Eduardo Najera,78.5,83.5
Matthew Nielsen,81.0,82.5
Chris Porter,77.5,81.5
Lavor Postell,76.5,80.5
Igor Rakocevic,74.5,77.25
Reed Rawlings,78.25,81.25
Michael Redd,76.75,81.0
Damon Reed,80.5,81.5
Aubrey Reese,70.75,77.5
Terrance Roberson,77.5,80.0
Pepe Sanchez,75.0,75.5
Matt Santangelo,72.0,75.0
Alex Scales,74.25,81.0
Karim Shabazz,83.5,87.0
Nick Sheppard,81.5,83.0
Jabari Smith,81.75,86.5
Mike Smith,78.5,80.5
Jarrett Stephens,77.25,81.25
Bootsy Thornton,75.5,78.5
Jaquay Walls,73.25,74.5
Jameel Watkins,81.5,90.0
